"region","occupation (SSYK 2012)","sector","sex","2014","2015","2016","2017"
"01 Stockholm county","311 Physical and engineering science technicians","central government","men",380,428,463,495
"01 Stockholm county","311 Physical and engineering science technicians","central government","women",144,156,153,178
"01 Stockholm county","311 Physical and engineering science technicians","central government quasi-corporations","men",17,21,21,16
"01 Stockholm county","311 Physical and engineering science technicians","central government quasi-corporations","women",5,6,10,11
"01 Stockholm county","311 Physical and engineering science technicians","primary local government","men",422,426,448,462
"01 Stockholm county","311 Physical and engineering science technicians","primary local government","women",351,355,397,374
"01 Stockholm county","311 Physical and engineering science technicians","county councils","men",46,35,50,55
"01 Stockholm county","311 Physical and engineering science technicians","county councils","women",33,30,31,35
"01 Stockholm county","311 Physical and engineering science technicians","other public institutions","men",1,0,0,0
"01 Stockholm county","311 Physical and engineering science technicians","other public institutions","women",1,2,4,1
"01 Stockholm county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",13707,14083,14732,15157
"01 Stockholm county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",3235,3419,3813,4054
"01 Stockholm county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",192,181,210,226
"01 Stockholm county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",27,30,28,32
"01 Stockholm county","311 Physical and engineering science technicians","central government corporations and organisations","men",504,458,467,529
"01 Stockholm county","311 Physical and engineering science technicians","central government corporations and organisations","women",187,170,165,199
"01 Stockholm county","311 Physical and engineering science technicians","local government corporations and organisations","men",410,408,449,489
"01 Stockholm county","311 Physical and engineering science technicians","local government corporations and organisations","women",113,113,128,169
"01 Stockholm county","311 Physical and engineering science technicians","other organisations","men",93,94,100,92
"01 Stockholm county","311 Physical and engineering science technicians","other organisations","women",35,38,41,43
"01 Stockholm county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"01 Stockholm county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"03 Uppsala county","311 Physical and engineering science technicians","central government","men",143,144,161,164
"03 Uppsala county","311 Physical and engineering science technicians","central government","women",27,25,26,25
"03 Uppsala county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"03 Uppsala county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"03 Uppsala county","311 Physical and engineering science technicians","primary local government","men",85,89,87,91
"03 Uppsala county","311 Physical and engineering science technicians","primary local government","women",61,58,60,66
"03 Uppsala county","311 Physical and engineering science technicians","county councils","men",33,31,26,29
"03 Uppsala county","311 Physical and engineering science technicians","county councils","women",12,12,13,10
"03 Uppsala county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"03 Uppsala county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"03 Uppsala county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1469,1387,1566,1679
"03 Uppsala county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",369,327,347,402
"03 Uppsala county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",16,28,34,33
"03 Uppsala county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",3,4,2,1
"03 Uppsala county","311 Physical and engineering science technicians","central government corporations and organisations","men",556,561,587,708
"03 Uppsala county","311 Physical and engineering science technicians","central government corporations and organisations","women",111,100,100,146
"03 Uppsala county","311 Physical and engineering science technicians","local government corporations and organisations","men",26,37,49,53
"03 Uppsala county","311 Physical and engineering science technicians","local government corporations and organisations","women",18,22,28,25
"03 Uppsala county","311 Physical and engineering science technicians","other organisations","men",24,20,19,26
"03 Uppsala county","311 Physical and engineering science technicians","other organisations","women",9,5,8,10
"03 Uppsala county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"03 Uppsala county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"04 Södermanland county","311 Physical and engineering science technicians","central government","men",25,29,23,20
"04 Södermanland county","311 Physical and engineering science technicians","central government","women",4,4,4,10
"04 Södermanland county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"04 Södermanland county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"04 Södermanland county","311 Physical and engineering science technicians","primary local government","men",61,64,71,73
"04 Södermanland county","311 Physical and engineering science technicians","primary local government","women",40,28,31,28
"04 Södermanland county","311 Physical and engineering science technicians","county councils","men",13,13,14,13
"04 Södermanland county","311 Physical and engineering science technicians","county councils","women",4,4,4,5
"04 Södermanland county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"04 Södermanland county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"04 Södermanland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1937,1845,1989,1912
"04 Södermanland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",452,409,398,383
"04 Södermanland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",1,2,24,23
"04 Södermanland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",1,0,2,2
"04 Södermanland county","311 Physical and engineering science technicians","central government corporations and organisations","men",59,58,42,52
"04 Södermanland county","311 Physical and engineering science technicians","central government corporations and organisations","women",12,8,6,7
"04 Södermanland county","311 Physical and engineering science technicians","local government corporations and organisations","men",130,131,139,163
"04 Södermanland county","311 Physical and engineering science technicians","local government corporations and organisations","women",39,44,50,47
"04 Södermanland county","311 Physical and engineering science technicians","other organisations","men",12,7,11,7
"04 Södermanland county","311 Physical and engineering science technicians","other organisations","women",2,2,13,1
"04 Södermanland county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"04 Södermanland county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"05 Östergötland county","311 Physical and engineering science technicians","central government","men",137,141,144,131
"05 Östergötland county","311 Physical and engineering science technicians","central government","women",18,19,25,32
"05 Östergötland county","311 Physical and engineering science technicians","central government quasi-corporations","men",35,35,33,33
"05 Östergötland county","311 Physical and engineering science technicians","central government quasi-corporations","women",31,28,24,27
"05 Östergötland county","311 Physical and engineering science technicians","primary local government","men",100,105,102,109
"05 Östergötland county","311 Physical and engineering science technicians","primary local government","women",53,65,63,58
"05 Östergötland county","311 Physical and engineering science technicians","county councils","men",25,27,27,28
"05 Östergötland county","311 Physical and engineering science technicians","county councils","women",7,10,9,7
"05 Östergötland county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"05 Östergötland county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"05 Östergötland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",3419,3082,3121,3139
"05 Östergötland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",674,596,561,599
"05 Östergötland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",21,20,18,40
"05 Östergötland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",0,2,1,0
"05 Östergötland county","311 Physical and engineering science technicians","central government corporations and organisations","men",93,80,82,88
"05 Östergötland county","311 Physical and engineering science technicians","central government corporations and organisations","women",22,19,18,16
"05 Östergötland county","311 Physical and engineering science technicians","local government corporations and organisations","men",242,259,265,274
"05 Östergötland county","311 Physical and engineering science technicians","local government corporations and organisations","women",66,65,71,75
"05 Östergötland county","311 Physical and engineering science technicians","other organisations","men",32,25,30,26
"05 Östergötland county","311 Physical and engineering science technicians","other organisations","women",3,4,2,3
"05 Östergötland county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"05 Östergötland county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"06 Jönköping county","311 Physical and engineering science technicians","central government","men",37,42,39,40
"06 Jönköping county","311 Physical and engineering science technicians","central government","women",8,9,13,13
"06 Jönköping county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"06 Jönköping county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"06 Jönköping county","311 Physical and engineering science technicians","primary local government","men",125,134,125,124
"06 Jönköping county","311 Physical and engineering science technicians","primary local government","women",60,64,70,67
"06 Jönköping county","311 Physical and engineering science technicians","county councils","men",11,10,13,17
"06 Jönköping county","311 Physical and engineering science technicians","county councils","women",2,2,3,3
"06 Jönköping county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"06 Jönköping county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"06 Jönköping county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",2555,2631,2830,3060
"06 Jönköping county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",435,455,534,579
"06 Jönköping county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",23,32,32,30
"06 Jönköping county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",0,0,2,4
"06 Jönköping county","311 Physical and engineering science technicians","central government corporations and organisations","men",42,39,41,35
"06 Jönköping county","311 Physical and engineering science technicians","central government corporations and organisations","women",6,4,5,10
"06 Jönköping county","311 Physical and engineering science technicians","local government corporations and organisations","men",77,80,92,123
"06 Jönköping county","311 Physical and engineering science technicians","local government corporations and organisations","women",12,13,19,23
"06 Jönköping county","311 Physical and engineering science technicians","other organisations","men",17,14,10,8
"06 Jönköping county","311 Physical and engineering science technicians","other organisations","women",3,3,4,3
"06 Jönköping county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"06 Jönköping county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"07 Kronoberg county","311 Physical and engineering science technicians","central government","men",7,11,7,13
"07 Kronoberg county","311 Physical and engineering science technicians","central government","women",7,7,6,4
"07 Kronoberg county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"07 Kronoberg county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"07 Kronoberg county","311 Physical and engineering science technicians","primary local government","men",77,86,83,88
"07 Kronoberg county","311 Physical and engineering science technicians","primary local government","women",53,50,49,49
"07 Kronoberg county","311 Physical and engineering science technicians","county councils","men",6,7,7,8
"07 Kronoberg county","311 Physical and engineering science technicians","county councils","women",2,4,4,4
"07 Kronoberg county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"07 Kronoberg county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"07 Kronoberg county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1499,1422,1454,1597
"07 Kronoberg county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",239,234,211,305
"07 Kronoberg county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",16,14,12,13
"07 Kronoberg county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",1,0,1,0
"07 Kronoberg county","311 Physical and engineering science technicians","central government corporations and organisations","men",19,19,17,17
"07 Kronoberg county","311 Physical and engineering science technicians","central government corporations and organisations","women",9,7,7,5
"07 Kronoberg county","311 Physical and engineering science technicians","local government corporations and organisations","men",54,48,53,59
"07 Kronoberg county","311 Physical and engineering science technicians","local government corporations and organisations","women",5,7,10,9
"07 Kronoberg county","311 Physical and engineering science technicians","other organisations","men",18,16,16,10
"07 Kronoberg county","311 Physical and engineering science technicians","other organisations","women",6,5,3,1
"07 Kronoberg county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"07 Kronoberg county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"08 Kalmar county","311 Physical and engineering science technicians","central government","men",8,10,9,7
"08 Kalmar county","311 Physical and engineering science technicians","central government","women",3,2,5,4
"08 Kalmar county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"08 Kalmar county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"08 Kalmar county","311 Physical and engineering science technicians","primary local government","men",64,60,54,62
"08 Kalmar county","311 Physical and engineering science technicians","primary local government","women",23,23,28,28
"08 Kalmar county","311 Physical and engineering science technicians","county councils","men",14,14,15,19
"08 Kalmar county","311 Physical and engineering science technicians","county councils","women",3,4,4,4
"08 Kalmar county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"08 Kalmar county","311 Physical and engineering science technicians","other public institutions","women",2,1,0,0
"08 Kalmar county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1346,1332,1286,1296
"08 Kalmar county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",192,188,188,183
"08 Kalmar county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",10,8,9,13
"08 Kalmar county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",0,0,0,0
"08 Kalmar county","311 Physical and engineering science technicians","central government corporations and organisations","men",93,94,67,123
"08 Kalmar county","311 Physical and engineering science technicians","central government corporations and organisations","women",25,26,25,28
"08 Kalmar county","311 Physical and engineering science technicians","local government corporations and organisations","men",57,57,70,63
"08 Kalmar county","311 Physical and engineering science technicians","local government corporations and organisations","women",18,20,17,12
"08 Kalmar county","311 Physical and engineering science technicians","other organisations","men",12,14,43,42
"08 Kalmar county","311 Physical and engineering science technicians","other organisations","women",1,2,4,4
"08 Kalmar county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"08 Kalmar county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","central government","men",16,18,19,16
"09 Gotland county","311 Physical and engineering science technicians","central government","women",1,0,2,4
"09 Gotland county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","primary local government","men",32,31,30,39
"09 Gotland county","311 Physical and engineering science technicians","primary local government","women",14,14,14,13
"09 Gotland county","311 Physical and engineering science technicians","county councils","men",0,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","county councils","women",0,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",124,113,99,106
"09 Gotland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",11,14,9,14
"09 Gotland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",4,5,5,5
"09 Gotland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",0,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","central government corporations and organisations","men",23,30,44,29
"09 Gotland county","311 Physical and engineering science technicians","central government corporations and organisations","women",7,8,9,9
"09 Gotland county","311 Physical and engineering science technicians","local government corporations and organisations","men",0,1,1,3
"09 Gotland county","311 Physical and engineering science technicians","local government corporations and organisations","women",0,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","other organisations","men",4,2,2,1
"09 Gotland county","311 Physical and engineering science technicians","other organisations","women",1,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"09 Gotland county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"10 Blekinge county","311 Physical and engineering science technicians","central government","men",206,220,248,274
"10 Blekinge county","311 Physical and engineering science technicians","central government","women",29,29,39,40
"10 Blekinge county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"10 Blekinge county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"10 Blekinge county","311 Physical and engineering science technicians","primary local government","men",25,25,25,34
"10 Blekinge county","311 Physical and engineering science technicians","primary local government","women",20,26,23,24
"10 Blekinge county","311 Physical and engineering science technicians","county councils","men",14,13,16,16
"10 Blekinge county","311 Physical and engineering science technicians","county councils","women",5,5,4,5
"10 Blekinge county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"10 Blekinge county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"10 Blekinge county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1268,1035,1019,1150
"10 Blekinge county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",204,171,162,193
"10 Blekinge county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",14,13,13,13
"10 Blekinge county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",2,1,0,0
"10 Blekinge county","311 Physical and engineering science technicians","central government corporations and organisations","men",9,8,9,9
"10 Blekinge county","311 Physical and engineering science technicians","central government corporations and organisations","women",1,2,3,5
"10 Blekinge county","311 Physical and engineering science technicians","local government corporations and organisations","men",20,21,23,24
"10 Blekinge county","311 Physical and engineering science technicians","local government corporations and organisations","women",5,7,5,5
"10 Blekinge county","311 Physical and engineering science technicians","other organisations","men",5,4,9,13
"10 Blekinge county","311 Physical and engineering science technicians","other organisations","women",2,2,3,3
"10 Blekinge county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"10 Blekinge county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"12 Skåne county","311 Physical and engineering science technicians","central government","men",141,144,147,141
"12 Skåne county","311 Physical and engineering science technicians","central government","women",38,33,43,43
"12 Skåne county","311 Physical and engineering science technicians","central government quasi-corporations","men",7,6,6,5
"12 Skåne county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"12 Skåne county","311 Physical and engineering science technicians","primary local government","men",383,386,420,423
"12 Skåne county","311 Physical and engineering science technicians","primary local government","women",231,232,246,265
"12 Skåne county","311 Physical and engineering science technicians","county councils","men",30,35,29,27
"12 Skåne county","311 Physical and engineering science technicians","county councils","women",7,11,9,9
"12 Skåne county","311 Physical and engineering science technicians","other public institutions","men",1,1,1,1
"12 Skåne county","311 Physical and engineering science technicians","other public institutions","women",2,3,2,2
"12 Skåne county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",6646,7055,7357,7604
"12 Skåne county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",1343,1428,1504,1644
"12 Skåne county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",116,116,99,95
"12 Skåne county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",8,12,11,10
"12 Skåne county","311 Physical and engineering science technicians","central government corporations and organisations","men",120,122,118,120
"12 Skåne county","311 Physical and engineering science technicians","central government corporations and organisations","women",31,21,27,26
"12 Skåne county","311 Physical and engineering science technicians","local government corporations and organisations","men",261,270,280,290
"12 Skåne county","311 Physical and engineering science technicians","local government corporations and organisations","women",66,68,87,89
"12 Skåne county","311 Physical and engineering science technicians","other organisations","men",68,65,61,62
"12 Skåne county","311 Physical and engineering science technicians","other organisations","women",21,23,17,11
"12 Skåne county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"12 Skåne county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"13 Halland county","311 Physical and engineering science technicians","central government","men",43,46,46,50
"13 Halland county","311 Physical and engineering science technicians","central government","women",5,5,4,10
"13 Halland county","311 Physical and engineering science technicians","central government quasi-corporations","men",1,0,0,0
"13 Halland county","311 Physical and engineering science technicians","central government quasi-corporations","women",1,1,1,1
"13 Halland county","311 Physical and engineering science technicians","primary local government","men",104,101,97,108
"13 Halland county","311 Physical and engineering science technicians","primary local government","women",66,72,77,74
"13 Halland county","311 Physical and engineering science technicians","county councils","men",16,14,18,15
"13 Halland county","311 Physical and engineering science technicians","county councils","women",6,6,6,8
"13 Halland county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"13 Halland county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"13 Halland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1373,1375,1440,1461
"13 Halland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",209,218,230,260
"13 Halland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",10,31,30,35
"13 Halland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",2,3,3,2
"13 Halland county","311 Physical and engineering science technicians","central government corporations and organisations","men",465,455,417,398
"13 Halland county","311 Physical and engineering science technicians","central government corporations and organisations","women",79,90,78,79
"13 Halland county","311 Physical and engineering science technicians","local government corporations and organisations","men",56,60,65,66
"13 Halland county","311 Physical and engineering science technicians","local government corporations and organisations","women",20,19,22,27
"13 Halland county","311 Physical and engineering science technicians","other organisations","men",24,25,36,36
"13 Halland county","311 Physical and engineering science technicians","other organisations","women",1,0,5,10
"13 Halland county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"13 Halland county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
