"","Länskod","Län","NUTS1","NUTS2","NUTS3"
"1",1,"Stockholms","SE1 Östra Sverige","SE11 Stockholm","SE110"
"2",3,"Uppsala","SE1 Östra Sverige","SE12 Östra Mellansverige","SE121"
"3",4,"Södermanlands","SE1 Östra Sverige","SE12 Östra Mellansverige","SE122"
"4",5,"Östergötlands","SE1 Östra Sverige","SE12 Östra Mellansverige","SE123"
"5",6,"Jönköpings","SE2 Södra Sverige","SE21 Småland med öarna","SE211"
"6",7,"Kronobergs","SE2 Södra Sverige","SE21 Småland med öarna","SE212"
"7",8,"Kalmar","SE2 Södra Sverige","SE21 Småland med öarna","SE213"
"8",9,"Gotlands","SE2 Södra Sverige","SE21 Småland med öarna","SE214"
"9",10,"Blekinge","SE2 Södra Sverige","SE22 Sydsverige","SE221"
"10",12,"Skåne","SE2 Södra Sverige","SE22 Sydsverige","SE224"
"11",13,"Hallands","SE2 Södra Sverige","SE23 Västsverige","SE231"
"12",14,"Västra Götalands","SE2 Södra Sverige","SE23 Västsverige","SE232"
"13",17,"Värmlands","SE3 Norra Sverige","SE31 Norra Mellansverige","SE311"
"14",18,"Örebro","SE1 Östra Sverige","SE12 Östra Mellansverige","SE124"
"15",19,"Västmanlands","SE1 Östra Sverige","SE12 Östra Mellansverige","SE125"
"16",20,"Dalarnas","SE3 Norra Sverige","SE31 Norra Mellansverige","SE312"
"17",21,"Gävleborgs","SE3 Norra Sverige","SE31 Norra Mellansverige","SE313"
"18",22,"Västernorrlands","SE3 Norra Sverige","SE32 Mellersta Norrland","SE321"
"19",23,"Jämtlands","SE3 Norra Sverige","SE32 Mellersta Norrland","SE322"
"20",24,"Västerbottens","SE3 Norra Sverige","SE33 Övre Norrland","SE331"
"21",25,"Norrbottens","SE3 Norra Sverige","SE33 Övre Norrland","SE332"